H-5
9.626	678.050	70.442	13.049	25.210
9.626	678.050	70.442	13.942	25.220
9.626	687.600	71.434	14.834	25.210
9.626	687.600	71.434	15.729	25.210
9.626	678.050	70.442	16.618	25.200
9.626	682.825	70.938	17.518	25.200
9.626	682.825	70.938	18.424	25.190
9.626	687.600	71.434	19.324	25.190
9.626	673.275	69.946	20.215	25.170
9.626	682.825	70.938	21.113	25.170
9.626	682.825	70.938	22.012	25.170
9.626	687.600	71.434	22.910	25.160
9.626	673.275	69.946	23.885	25.170
9.626	678.050	70.442	24.887	25.170
9.626	678.050	70.442	25.888	25.170
9.626	673.275	69.946	26.890	25.180
9.626	668.500	69.450	27.890	25.190
9.626	663.725	68.953	28.885	25.180
9.626	1542.325	160.230	30.559	25.180
1000.212	2038.925	2.038	31.463	25.200
1000.212	2062.800	2.062	32.359	25.190
1000.212	2191.725	2.191	33.261	25.190
1000.212	2301.550	2.301	34.159	25.190
1000.212	2301.550	2.301	35.075	25.180
1000.212	2339.750	2.339	35.980	25.170
1000.212	2363.625	2.363	36.889	25.160
1000.212	2282.450	2.282	37.893	25.150
1000.212	2249.025	2.249	38.884	25.140
1000.212	2234.700	2.234	39.899	25.150
1000.212	2220.375	2.220	40.887	25.160
1000.212	2201.275	2.201	41.892	25.160
1000.212	2186.950	2.186	42.888	25.180
1000.212	2167.850	2.167	43.894	25.200
1000.212	2153.525	2.153	44.886	25.180
1000.212	2139.200	2.139	45.890	25.180
1000.212	2129.650	2.129	46.886	25.170
1000.212	2120.100	2.120	47.890	25.150
1000.212	2110.550	2.110	48.886	25.160
1000.212	2101.000	2.101	49.890	25.160
1000.212	2091.450	2.091	50.885	25.140
1000.212	2081.900	2.081	51.888	25.160
1000.212	2077.125	2.077	52.885	25.170
1000.212	2072.350	2.072	53.889	25.160
1000.212	2067.575	2.067	54.888	25.160
1000.212	2062.800	2.062	55.891	25.170
1000.212	2058.025	2.058	56.885	25.180
1000.212	2048.475	2.048	57.894	25.170
1000.212	2038.925	2.038	58.885	25.170
1000.212	2034.150	2.034	60.826	25.180

H-8
.000	57.300	∞	.509	25.250
9.626	964.550	100.206	2.519	25.270
9.626	1379.975	143.364	3.417	25.270
9.626	1365.650	141.876	4.319	25.270
9.626	1337.000	138.899	5.218	25.280
9.626	1337.000	138.899	6.125	25.280
9.626	1332.225	138.403	7.023	25.280
9.626	1327.450	137.907	7.913	25.270
9.626	1317.900	136.915	8.812	25.260
9.626	1322.675	137.411	9.711	25.260
9.626	1337.000	138.899	10.616	25.250
9.626	1327.450	137.907	11.518	25.250
9.626	1332.225	138.403	12.414	25.260
9.626	1351.325	140.387	13.306	25.260
9.626	1365.650	141.876	14.200	25.260
9.626	1370.425	142.372	15.102	25.250
9.626	1365.650	141.876	15.994	25.250
9.626	1389.525	144.356	16.893	25.250
9.626	1399.075	145.348	17.788	25.250
9.626	1389.525	144.356	18.681	25.250
9.626	1403.850	145.844	19.574	25.250
9.626	1422.950	147.828	20.469	25.250
9.626	1418.175	147.332	21.363	25.250
9.626	1418.175	147.332	22.266	25.240
9.626	1432.500	148.820	23.168	25.230
9.626	1470.700	152.789	24.071	25.240
9.626	1465.925	152.293	24.971	25.230
9.626	1456.375	151.301	25.873	25.230
